Doc,NormalizedTF
D2841,0.031914894
D2845,0.066666667
D2846,0.166666667
D2850,0
D2856,0
D2861,0
D2865,0.095238095
D2868,0.052631579
D2869,0.076923077
D2871,0
D2877,0.083333333
D2878,0.076923077
D2879,0
D2881,0
D2882,0
D2883,0
D2885,0
D2888,0
D2893,0
D2895,0
D2897,0
D2898,0
D2899,0.052631579
D2909,0.076923077
D2912,0.0625
D2913,0
D2914,0
D2916,0
D2917,0.058823529
D2920,0
D2922,0.037037037
D2924,0
D2925,0.071428571
D2927,0
D2928,0.1
D2930,0
D2933,0.055555556
D2938,0.076923077
D2941,0
D2942,0
D2945,0
D2949,0.037037037
D2956,0
D2957,0
D2961,0.044444444
D2962,0
D2977,0
D2979,0
D2981,0.043478261
D2988,0.125
D2989,0
D2990,0
D2991,0
D3000,0
D3001,0
D3002,0
D3003,0
D3005,0
D3007,0.052631579
D3009,0
D3014,0
D3015,0
D3018,0.090909091
D3019,0
D3022,0.029411765
D3023,0
D3028,0
D3034,0
D3037,0
D3040,0.076923077
D3042,0.041666667
D3047,0
D3050,0
D3053,0.113636364
D3057,0
D3058,0.0625
D3060,0
D3062,0.076923077
D3064,0.1
D3068,0
D3072,0
D3076,0.181818182
D3078,0
D3080,0.096774194
D3082,0
D3084,0.03125
D3094,0.055555556
D3097,0
D3099,0
D3105,0.125
D3109,0.235294118
D3112,0.04
D3114,0.1
D3117,0
D3120,0
D3122,0.066666667
D3124,0
D3129,0
D3130,0.050420168
D3135,0.071428571
D3136,0
D3137,0.054545455
D3142,0.102564103
D3144,0
D3145,0.071428571
D3146,0.2
D3148,0
D3151,0
D3155,0
D3159,0
D3160,0
D3161,0
D3163,0
D3167,0
D3168,0.095890411
D3171,0
D3175,0
D3178,0
D3180,0.032258065
D3182,0
D3187,0
D3190,0.021276596
D3191,0.018867925
D3195,0
D3196,0
D3203,0.019607843
D3206,0
D3210,0
D3212,0
D3214,0
D3217,0
D3218,0
D3227,0
D3230,0
D3232,0.025
D3235,0
D3236,0
D3237,0.166666667
D3238,0.031746032
D3239,0.043478261
D3248,0.111111111
D3251,0
D3253,0
D3254,0
D3255,0
D3257,0.068965517
D3259,0.043478261
D3261,0
D3264,0
D3266,0
D3267,0
D3268,0
D3271,0
D3276,0.027777778
D3283,0
D3284,0
D3288,0
D3292,0
D3294,0
D3300,0.045454545
D3302,0
D3303,0
D3306,0
D3316,0.022222222
D3318,0
D3319,0
D3322,0
D3324,0
D3333,0.064516129
D3335,0.127659574
D3338,0
D3339,0.019607843
D3341,0
D3345,0
D3348,0
D3349,0
D3356,0
D3359,0
D3364,0
D3365,0.1
D3367,0
D3371,0
D3381,0
D3384,0
D3386,0
D3395,0
D3396,0
D3399,0
D3404,0
D3406,0.031746032
D3408,0.060606061
D3409,0
D3414,0.083333333
D3415,0
D3418,0.117647059
D3419,0
D3429,0
D3432,0
D3437,0.071428571
D3438,0
D3439,0
D3443,0.058823529
D3447,0
D3452,0
D3453,0
D3454,0
D3455,0.018867925
D3456,0.023255814
D3461,0
D3463,0
D3464,0
