Doc,TF
D1573,0
D1574,0
D1577,0
D1580,0
D1584,0
D1594,2
D1595,0
D1606,0
D1608,0
D1611,0
D1638,0
D1640,0
D1643,0
D1650,0
D1653,0
D1655,0
D1659,0
D1664,0
D1665,0
D1667,0
D1669,0
D1670,0
D1672,0
D1675,0
D1677,0
D1678,0
D1679,0
D1680,0
D1681,0
D1683,0
D1684,0
D1688,0
D1691,0
D1703,0
D1714,0
D1716,0
D1719,2
D1720,0
D1723,0
D1733,0
D1734,0
D1743,0
D1744,0
D1747,0
D1750,0
D1756,0
D1757,0
D1759,0
D1761,2
D1764,0
D1766,0
D1767,0
D1772,0
D1778,0
D1779,0
D1781,0
D1783,0
D1785,0
D1794,0
D1801,0
D1804,0
D1806,0
D1822,1
D1827,0
D1829,0
D1831,0
D1833,0
D1834,0
D1836,0
D1839,0
D1841,0
D1843,0
D1844,0
D1847,1
D1859,0
D1864,0
D1868,3
D1871,2
D1881,0
D1883,0
D1885,0
D1888,0
D1890,0
D1892,0
D1896,0
D1902,0
D1907,0
D1909,0
D1912,0
D1914,0
D1915,0
D1918,0
D1922,0
D1926,0
D1929,0
D1931,0
D1935,0
D1939,0
D1942,0
D1947,0
D1950,0
D1951,0
D1956,0
D1957,0
D1959,0
D1964,0
D1965,0
D1966,0
D1970,0
D1976,0
D1980,0
D1985,0
D1986,0
D1987,0
D1997,0
D2000,0
D2004,0
D2007,0
D2010,0
D2011,0
D2015,0
D2019,0
D2021,0
D2029,0
D2031,0
D2033,0
D2034,0
D2036,0
D2037,0
D2042,0
D2054,0
D2064,0
D2067,0
D2069,0
D2072,0
D2076,0
D2084,0
D2091,0
D2092,0
D2096,0
D2101,0
D2106,0
D2107,0
D2109,0
D2112,0
D2116,0
D2117,0
D2118,1
D2119,0
D2120,0
D2123,0
D2131,0
D2139,0
D2140,0
D2153,0
D2155,0
D2160,0
D2171,0
D2175,0
D2181,0
D2184,0
D2188,0
D2198,0
D2199,0
D2201,0
D2205,0
D2213,0
D2218,0
D2225,0
D2232,0
D2234,0
D2237,0
D2239,2
D2244,0
D2247,0
D2248,0
D2256,0
D2259,0
D2264,0
D2265,0
D2266,0
D2269,0
D2276,0
D2278,0
D2279,0
D2287,0
D2288,0
D2291,0
D2292,0
D2294,0
D2300,0
D2304,0
D2314,0
D2318,0
D2319,0
D2320,0
D2322,0
D2329,1
D2336,0
D2339,0
D2344,0
D2358,0
D2364,0
D2365,0
D2367,0
D2370,0
D2371,0
D2377,0
D2379,0
D2390,0
D2392,0
D2398,0
D2401,0
D2402,0
D2405,0
D2410,0
D2422,0
D2431,0
D2434,0
D2436,0
D2446,1
D2453,0
D2454,0
D2467,0
D2477,0
D2486,0
D2490,0
D2493,2
D2497,0
D2508,0
D2509,0
D2512,0
D2514,0
D2520,0
D2523,0
D2524,0
D2529,0
D2530,0
D2531,0
D2534,0
D2543,0
D2550,0
D2557,0
D2559,0
D2561,0
D2569,0
D2572,0
D2575,0
D2577,0
D2583,0
D2588,0
D2591,0
D2594,0
D2601,0
D2604,0
D2606,0
D2607,0
D2608,1
D2617,0
D2619,1
D2621,1
D2623,0
D2628,1
D2631,0
D2634,4
D2635,8
D2637,0
D2638,0
D2639,0
D2646,4
D2649,1
D2650,1
D2654,0
D2656,0
D2658,0
D2659,0
D2660,2
D2662,2
D2664,4
D2666,1
D2670,0
D2676,3
D2677,3
D2680,0
D2681,1
D2685,0
D2688,1
D2694,0
D2703,0
D2704,0
D2705,4
D2706,1
D2708,0
D2709,2
D2711,0
D2712,0
D2713,0
D2715,0
D2716,0
D2717,0
D2719,9
D2720,0
D2723,0
D2726,3
D2732,0
D2739,1
D2740,0
D2741,0
D2742,1
D2744,0
D2745,0
D2749,0
D2750,0
D2753,1
D2756,0
D2757,0
D2760,0
D2761,0
D2762,1
D2765,0
D2769,0
D2771,0
D2777,0
D2779,0
D2783,0
D2789,0
D2790,4
D2792,0
D2793,0
D2795,0
D2796,0
D2798,1
D2801,0
D2804,0
D2806,0
D2808,2
D2810,2
D2811,0
D2813,1
D2815,1
D2816,0
D2823,0
D2825,2
D2827,1
D2832,0
D2840,0
D2841,3
D2845,2
D2846,2
D2850,0
D2856,0
D2861,0
D2865,2
D2868,1
D2869,1
D2871,0
D2877,1
D2878,1
D2879,0
D2881,0
D2882,0
D2883,0
D2885,0
D2888,0
D2893,0
D2895,0
D2897,0
D2898,0
D2899,1
D2909,1
D2912,1
D2913,0
D2914,0
D2916,0
D2917,1
D2920,0
D2922,1
D2924,0
D2925,1
D2927,0
D2928,1
D2930,0
D2933,1
D2938,1
D2941,0
D2942,0
D2945,0
D2949,1
D2956,0
D2957,0
D2961,2
D2962,0
D2977,0
D2979,0
D2981,1
D2988,1
D2989,0
D2990,0
D2991,0
D3000,0
D3001,0
D3002,0
D3003,0
D3005,0
D3007,1
D3009,0
D3014,0
D3015,0
D3018,1
D3019,0
D3022,1
D3023,0
D3028,0
D3034,0
D3037,0
D3040,1
D3042,1
D3047,0
D3050,0
D3053,5
D3057,0
D3058,1
D3060,0
D3062,1
D3064,1
D3068,0
D3072,0
D3076,2
D3078,0
D3080,3
D3082,0
D3084,1
D3094,1
D3097,0
D3099,0
D3105,2
D3109,4
D3112,1
D3114,1
D3117,0
D3120,0
D3122,2
D3124,0
D3129,0
D3130,6
D3135,2
D3136,0
D3137,3
D3142,4
D3144,0
D3145,1
D3146,3
D3148,0
D3151,0
D3155,0
D3159,0
D3160,0
D3161,0
D3163,0
D3167,0
D3168,7
D3171,0
D3175,0
D3178,0
D3180,1
D3182,0
D3187,0
D3190,1
D3191,1
D3195,0
D3196,0
D3203,1
D3206,0
D3210,0
D3212,0
D3214,0
D3217,0
D3218,0
D3227,0
D3230,0
D3232,1
D3235,0
D3236,0
D3237,2
D3238,2
D3239,2
D3248,1
D3251,0
D3253,0
D3254,0
D3255,0
D3257,2
D3259,1
D3261,0
D3264,0
D3266,0
D3267,0
D3268,0
D3271,0
D3276,1
D3283,0
D3284,0
D3288,0
D3292,0
D3294,0
D3300,2
D3302,0
D3303,0
D3306,0
D3316,1
D3318,0
D3319,0
D3322,0
D3324,0
D3333,2
D3335,6
D3338,0
D3339,1
D3341,0
D3345,0
D3348,0
D3349,0
D3356,0
D3359,0
D3364,0
D3365,1
D3367,0
D3371,0
D3381,0
D3384,0
D3386,0
D3395,0
D3396,0
D3399,0
D3404,0
D3406,2
D3408,2
D3409,0
D3414,1
D3415,0
D3418,2
D3419,0
D3429,0
D3432,0
D3437,1
D3438,0
D3439,0
D3443,2
D3447,0
D3452,0
D3453,0
D3454,0
D3455,1
D3456,1
D3461,0
D3463,0
D3464,0
D3465,1
D3466,0
D3469,0
D3470,0
D3477,1
D3478,0
D3481,0
