title,Length,Uppercase(num),Exclamation/Question(num),SpellMiss(num),FirstPronouns(num),SecondPronouns(num),ThirdPronouns(num),BadWord(num),Emot(num),EmotMean(score),SentiPos(num),SentiNeg(num),Senti(score),FRE,SMOG,CLI,ARI,FOG,FKGL
D89,29,0,1,2,0,2,1,0,0,0,4,2,0.488636364,92.8,8.477225575,3.657046724,9.473793103,12.97931034,7.52
D90,30,0,2,4,0,2,1,0,1,-0.375,2,2,-0.308333333,86.145,3,3.204446733,9.584,12,8.696666667
D91,35,0,2,5,2,2,0,0,0,0,3,2,0.125,67.37285714,13.95445115,7.041244886,15.04457143,18.57142857,12.55714286
D92,27,1,2,7,0,2,0,0,0,0,4,2,0.796875,79.16333333,3,6.187230296,10.56111111,10.8,8.925185185
D93,29,1,2,4,0,1,2,0,0,0,3,1,0.474506579,84.04827586,3,4.468060655,10.12344828,11.6,8.740689655
D94,27,0,5,7,2,2,1,0,0,0,3,1,0.540178571,85.43,8.477225575,4.227279963,8.991111111,12.28148148,8.051111111
D95,27,1,3,6,0,1,1,0,0,0,4,5,-0.4375,82.29666667,8.477225575,5.316141259,9.863333333,12.28148148,8.488148148
D96,21,0,1,3,0,1,1,0,0,0,0,1,-0.125,96.89142857,3,4.349731571,6.34,8.4,4.961904762
D97,24,0,2,2,1,2,2,0,0,0,4,0,1.09375,94.35,8.477225575,2.320902208,6.07375,11.26666667,6.061666667
D98,28,1,4,4,1,1,1,1,0,0,1,5,-0.729166667,102.8792857,3,4.981954,10.06428571,11.2,5.865714286
D99,16,0,2,2,1,1,1,0,0,0,1,1,0.083333333,105.995,8.477225575,2.194488125,2.46625,8.9,2.45
D100,23,0,2,4,1,2,0,0,0,0,2,0,0.446428571,91.53347826,8.477225575,5.92090513,8.500434783,10.93913043,6.206086957
D101,18,0,1,2,0,1,0,0,0,0,1,2,-0.625,85.165,10.74596669,5.094887056,5.625,11.64444444,5.852222222
D102,22,0,2,4,0,2,0,0,0,0,2,1,-0.3125,96.05954545,3,4.770127909,7.125454545,8.8,5.326363636
D103,26,1,3,8,0,3,0,0,1,0.25,1,2,-0.125,86.08346154,8.477225575,5.449887115,9.504230769,11.93846154,7.711538462
D104,25,1,3,4,0,2,0,0,0,0,1,2,0.166666667,107.012,3,2.77200416,6.8956,10,4.544
D105,21,0,3,5,0,2,1,0,0,0,2,1,0,100.92,3,4.909717381,6.788571429,8.4,4.4
