Doc,Length,Uppercase(num),Exclamation/Question(num),SpellMiss(num),FirstPronouns(num),SecondPronouns(num),ThirdPronouns(num),BadWord(num),Emot(num),EmotMean(score),SentiPos(num),SentiNeg(num),Senti(score),FRE,SMOG,CLI,ARI,FOG,FKGL
D250,26,0,0,14,0,0,0,3,0,0,0,3,-0.5,79.57576923,3,8.615960731,12.04038462,10.4,8.619230769
D251,23,0,1,10,0,0,0,1,0,0,1,2,-0.375,95.21173913,3,6.432196522,8.91,9.2,5.693043478
D252,9,0,0,4,0,0,1,0,0,0,0,1,-0.25,122.5,8.477225575,-2.755360111,-3.846666667,8.044444444,-1.591111111
D260,12,0,0,6,1,0,0,0,0,0,0,0,0,88.905,8.477225575,2.313067833,1.055,8.133333333,3.84
D261,9,0,0,3,0,1,0,0,1,0.4375,1,0,0,113.1,3,1.164540556,-0.706666667,3.6,-0.28
D263,10,0,0,4,0,1,0,0,0,0,1,0,0.434083333,120.545,3,2.9959167,0.997,4,-1.07
D265,40,16,1,19,4,5,0,4,0,0,6,3,1.026190476,115.475,8.477225575,5.361958975,16.11475,17,7.09
D266,21,1,2,5,2,3,0,1,0,0,3,4,-1.053571429,92.86285714,3,2.949767048,5.218571429,8.4,5.523809524
D267,16,0,1,2,2,1,0,0,0,0,1,2,-0.5,105.995,3,0.357034688,0.994375,6.4,2.45
D270,32,3,1,5,1,3,2,0,0,0,5,3,0.47575,84.4675,10.74596669,2.567854594,10.0246875,15.3,9.4275
D272,77,2,1,8,4,4,0,3,0,0,12,7,0.005208333,36.38909091,8.477225575,4.661690065,33.76909091,31.31948052,27.31272727
D273,44,1,2,8,2,4,1,2,0,0,6,5,-1.084821429,62.19318182,10.74596669,6.778895864,19.19590909,19.41818182,15.51545455
D274,22,0,0,2,1,3,0,0,2,0.3125,2,2,0.375,72.98681818,12.48683298,5.037393864,7.339545455,14.25454545,8.544545455
D275,27,1,0,4,3,1,0,4,1,-0.375,5,3,0.99702381,85.43,3,4.662824481,9.34,10.8,8.051111111
D276,22,1,1,4,0,1,0,1,0,0,2,1,0.75,119.1322727,3,0.761138591,3.914090909,8.8,2.108181818
D277,11,0,0,1,1,1,0,0,0,0,2,0,0.125,149.5245455,3,-0.851003727,-1.8,4.4,-4.863636364
D278,48,2,0,8,2,1,1,4,2,0.3125,7,7,0.721428571,71.7525,8.477225575,4.529763521,19.349375,20.03333333,15.17583333
D279,16,0,1,2,3,1,0,0,0,0,2,1,-0.178571429,127.145,3,-2.9503815,-1.655,6.4,-0.5
D281,16,0,1,2,1,1,0,0,0,0,1,0,0.375,100.7075,8.477225575,0.724525375,1.28875,8.9,3.1875
D287,21,0,1,4,1,0,0,2,0,0,3,0,0.1875,60.63428571,12.48683298,8.829618048,9.928571429,14.11428571,10.01904762
D288,50,1,0,8,2,3,1,0,0,0,6,5,-1.228125,57.949,10.74596669,3.36374976,19.3956,21.6,17.598
D291,41,6,1,10,0,3,0,3,0,0,7,2,0.775,76.49317073,12.48683298,6.136493024,17.22073171,19.32682927,12.77560976
D294,13,0,1,1,0,1,0,0,1,0.4375,3,2,0.68452381,96.02461538,8.477225575,5.894951615,4.272307692,8.276923077,3.095384615
D295,25,16,0,14,1,1,0,1,0,0,7,4,-0.053571429,161.156,3,3.47758628,7.4608,10,-3.008
D296,17,9,0,10,3,1,0,2,0,0,2,2,-0.2,169.6741176,3,2.865309471,3.416470588,6.8,-6.183529412
D300,12,0,2,3,0,2,0,1,0,0,1,1,0,110.055,3,0.3531175,-0.515,4.8,0.89
D304,31,0,2,3,4,2,1,2,1,0.4375,5,3,-0.765625,71.66677419,8.477225575,1.263665839,8.503870968,13.69032258,10.96451613
D306,9,0,1,2,0,1,0,0,0,0,1,2,-0.3125,131.9,3,-2.102043333,-3.323333333,3.6,-2.902222222
D308,19,0,1,2,0,2,0,0,0,0,3,2,0.112980769,98.49736842,3,5.232977211,6.166315789,7.6,4.241052632
D318,18,0,1,2,0,2,1,0,0,0,2,2,-0.791666667,113.365,3,1.174986389,2.485,7.2,1.918888889
D319,21,0,1,4,1,2,1,0,0,0,3,2,0.029761905,100.92,8.477225575,2.949767048,5.218571429,10.3047619,4.4
D321,12,0,0,2,0,0,1,1,0,0,1,2,-0.366071429,145.305,3,-3.566783167,-3.655,4.8,-4.026666667
D324,42,8,2,11,0,6,0,1,1,0.4375,3,2,-0.37202381,91.69071429,3,6.454155143,17.96142857,16.8,10.90428571
D325,11,0,0,2,0,1,0,0,0,0,2,0,0.375,118.7609091,3,-0.316471818,-1.371818182,4.4,-0.572727273
D326,21,0,1,1,1,3,1,0,0,0,2,1,-0.5,80.77714286,10.74596669,6.869667714,8.358571429,12.20952381,7.20952381
D330,39,2,1,22,1,0,4,0,0,0,5,5,-1.229166667,95.66538462,3,6.507655564,16.54769231,15.6,9.604615385
D331,15,1,0,2,0,2,0,2,0,0,0,4,-0.6,123.93,3,-0.133736333,0.2,6,-0.3
D332,9,0,0,1,1,0,0,0,0,0,2,0,0.1875,131.9,3,-2.102043333,-3.323333333,3.6,-2.902222222
D333,9,1,0,3,1,0,0,0,1,0.25,0,2,-0.75,141.3,3,-4.061993667,-4.893333333,3.6,-4.213333333
D334,56,0,0,2,0,1,0,0,0,0,0,52,-38.375,-8.63,3,6.350277,24.73714286,22.4,28.375
D335,8,0,1,2,1,0,0,0,0,0,0,2,-1,145.84,3,-7.004530625,-7.42125,3.2,-5.095
D336,6,0,0,1,0,1,0,0,0,0,0,1,-0.25,144.345,3,-5.052414667,-5.87,2.4,-5.383333333
D340,11,0,1,2,0,0,0,0,0,0,2,0,0.3125,80.30636364,10.74596669,6.097911091,3.766363636,11.67272727,4.790909091
D341,9,0,1,2,1,0,0,0,0,0,2,1,0.21875,94.3,12.48683298,4.431124444,1.91,16.93333333,2.342222222
D343,13,0,1,2,0,2,0,1,0,0,4,1,0.34375,109.04,3,-0.889491846,-1.162307692,5.2,1.28
D345,15,2,2,3,0,2,0,0,0,0,3,0,0.59375,107.01,3,4.1781544,3.654,6,2.06
D346,24,4,4,14,0,2,0,0,0,0,2,3,-0.40625,101.4,3,5.015833917,8.2325,9.6,5.078333333
D347,15,3,0,4,0,1,0,2,0,0,2,2,-0.5625,135.21,3,0.258253733,0.514,6,-1.873333333
D348,11,0,1,3,0,2,0,0,0,0,0,1,-0.125,118.7609091,3,-0.316471818,-1.371818182,4.4,-0.572727273
D349,17,0,1,3,1,3,0,0,0,0,1,2,-0.175,104.98,8.477225575,2.173562294,2.862352941,9.152941176,2.84
D350,50,3,3,7,4,5,0,1,0,0,6,5,-1.291666667,61.333,8.477225575,3.5989438,19.584,20.8,17.126
D351,23,0,2,4,0,2,1,0,0,0,1,2,-1.375,98.89,3,4.131385261,7.066956522,9.2,5.18
D352,17,0,0,2,1,1,0,3,0,0,3,3,-0.354166667,90.05058824,8.477225575,3.902930235,4.247647059,9.152941176,4.922352941
D356,20,0,3,3,0,2,0,1,0,0,3,0,0.046875,93.475,3,2.1233403,4.113,8,5.19
D358,13,1,0,3,0,0,1,0,0,0,0,1,-0.125,135.0707692,3,-4.055565462,-3.698461538,5.2,-2.350769231
D360,13,0,0,1,0,0,0,0,0,0,1,1,-0.125,115.5476923,8.477225575,0.015100615,-0.437692308,8.276923077,0.372307692
D362,17,0,0,4,1,0,0,2,0,0,2,0,0.1875,80.09764706,10.74596669,7.015792529,6.741176471,11.50588235,6.310588235
D363,23,0,1,1,1,1,0,0,1,0.4375,3,1,0.6875,95.21173913,3,2.853156783,6.043043478,9.2,5.693043478
D364,68,0,2,6,3,7,0,12,0,0,11,10,-0.428125,35.79735294,8.477225575,5.727061794,30.16323529,27.78823529,25.15941176
D365,9,1,0,3,0,0,0,1,1,0.25,0,2,-0.5625,103.7,8.477225575,1.164540556,-0.706666667,8.044444444,1.031111111
D366,67,0,3,6,3,9,1,1,0,0,6,9,-1.489583333,42.8658209,8.477225575,3.50336309,27.88716418,27.39701493,23.92507463
D367,31,0,0,3,2,4,0,1,0,0,0,0,0,93.49903226,3,0.315302774,7.744193548,12.4,7.919354839
D370,11,0,1,7,1,0,0,0,1,-0.375,2,1,0.001625,141.8336364,3,3.425251545,1.625454545,4.4,-3.790909091
D375,16,0,1,2,0,1,0,0,0,0,1,1,-0.25,100.7075,3,1.45950675,1.8775,6.4,3.1875
D376,22,0,1,1,0,2,0,0,0,0,2,1,0.25,92.21409091,8.477225575,2.364734318,5.198636364,10.61818182,5.862727273
D379,25,0,0,3,3,1,0,0,0,0,3,2,0.4375,110.396,3,1.12564588,5.5768,10,4.072
